%% Pressure distribution along the foil using processing viscous simulation
% xcoord = [64.0 63.9992 63.996803 63.992798 63.987198 63.980003 63.9712 63.9608 63.9488 63.935204 63.92 63.9032 63.884804 63.8648 63.8432 63.82 63.795197 63.7688 63.7408 63.711197 63.68 63.6472 63.6128 63.576797 63.5392 63.5 63.459198 63.4168 63.372803 63.3272 63.28 63.2312 63.1808 63.1288 63.075203 63.019997 62.963203 62.9048 62.844803 62.783203 62.72 62.655197 62.5888 62.520798 62.451202 62.379997 62.307198 62.232803 62.1568 62.0792 62.0 61.919197 61.8368 61.7528 61.6672 61.58 61.491203 61.400803 61.3088 61.215202 61.120003 61.0232 60.924797 60.8248 60.723198 60.620003 60.515198 60.4088 60.300797 60.1912 60.08 59.9672 59.8528 59.7368 59.6192 59.5 59.379196 59.256798 59.132797 59.007202 58.879997 58.751198 58.620804 58.4888 58.3552 58.22 58.0832 57.9448 57.804802 57.6632 57.520004 57.3752 57.228798 57.080803 56.9312 56.78 56.627197 56.4728 56.316803 56.159203 56.0 56.159203 56.316803 56.4728 56.627197 56.78 56.9312 57.080803 57.228798 57.3752 57.520004 57.6632 57.804802 57.9448 58.0832 58.22 58.3552 58.4888 58.620804 58.751198 58.879997 59.007202 59.132797 59.256798 59.379196 59.5 59.6192 59.7368 59.8528 59.9672 60.08 60.1912 60.300797 60.4088 60.515198 60.620003 60.723198 60.8248 60.924797 61.0232 61.120003 61.215202 61.3088 61.400803 61.491203 61.58 61.6672 61.7528 61.8368 61.919197 62.0 62.0792 62.1568 62.232803 62.307198 62.379997 62.451202 62.520798 62.5888 62.655197 62.72 62.783203 62.844803 62.9048 62.963203 63.019997 63.075203 63.1288 63.1808 63.2312 63.28 63.3272 63.372803 63.4168 63.459198 63.5 63.5392 63.576797 63.6128 63.6472 63.68 63.711197 63.7408 63.7688 63.795197 63.82 63.8432 63.8648 63.884804 63.9032 63.92 63.935204 63.9488 63.9608 63.9712 63.980003 63.987198 63.992798 63.996803 63.9992 ];
% ycoord = [64.0 63.98226 63.964676 63.947243 63.929962 63.912834 63.895866 63.87906 63.86241 63.845932 63.829628 63.8135 63.797554 63.78179 63.76622 63.750847 63.735687 63.720734 63.706 63.691498 63.67723 63.663208 63.649437 63.635925 63.62269 63.609734 63.59707 63.5847 63.572647 63.560913 63.549507 63.538437 63.527725 63.517365 63.507385 63.49778 63.488564 63.47975 63.47135 63.46337 63.45582 63.448708 63.44204 63.435837 63.43009 63.424828 63.420044 63.41575 63.41195 63.40866 63.405876 63.40361 63.40187 63.400658 63.39998 63.39984 63.400246 63.4012 63.402702 63.404755 63.407364 63.410538 63.41427 63.418556 63.423416 63.428833 63.434814 63.44136 63.44848 63.456154 63.464394 63.473206 63.482574 63.492508 63.503006 63.51406 63.52569 63.537872 63.55062 63.563934 63.57782 63.59227 63.607292 63.622894 63.639076 63.655846 63.673218 63.691185 63.70977 63.72898 63.748833 63.76934 63.79052 63.8124 63.835 63.858345 63.88246 63.907394 63.933167 63.959816 64.0 64.040184 64.06683 64.092606 64.11753 64.141655 64.16499 64.1876 64.20947 64.23066 64.25117 64.27102 64.29023 64.308815 64.32678 64.34415 64.360916 64.3771 64.3927 64.40773 64.42218 64.43606 64.44938 64.46213 64.47431 64.48593 64.496994 64.50749 64.517426 64.526794 64.5356 64.543846 64.55152 64.55863 64.565186 64.57117 64.576584 64.581436 64.58573 64.58946 64.59263 64.595245 64.5973 64.5988 64.59975 64.60015 64.60001 64.599335 64.59813 64.59639 64.594124 64.59134 64.58805 64.58425 64.579956 64.57517 64.56991 64.56416 64.55796 64.55129 64.54418 64.53663 64.52865 64.52025 64.51144 64.50222 64.492615 64.48263 64.472275 64.46156 64.45049 64.43909 64.42735 64.4153 64.40293 64.39027 64.37731 64.364075 64.35056 64.33679 64.32277 64.3085 64.294 64.27927 64.26431 64.24915 64.23378 64.21821 64.202446 64.1865 64.17037 64.15407 64.13759 64.12094 64.10413 64.087166 64.07004 64.052765 64.035324 64.01774 ];
% resolution = 8; xLengths = 16; yLengths = 16; zoom = 2;
t fx fy theta thetavel y yvel Eta CP M Dphi Angle
0.12470071 1.1953548 3.9311495 3.0543263 -0.6998071 0.087265015 0.69979566 0.0 0.0 -23.046923 -0.087266445 -4.999999046325684;
0.22780818 51.924267 -13.54634 4.4531207 13.566374 0.3287506 2.3420768 0.0 0.0 233.018 1.3987944 75.14501190185547;
0.2778319 -54.46973 78.636246 3.7793844 -13.468334 0.3188324 -0.19827016 0.0 0.0 -532.0359 -0.67373633 36.54276657104492;
0.31566322 -19.304361 89.960724 3.3566453 -11.174316 0.30191803 -0.44709972 0.0 0.0 -535.0756 -0.42273903 12.321606636047363;
0.3509907 2.766902 73.8526 3.110993 -6.9535737 0.28632355 -0.44142604 0.0 0.0 -444.2945 -0.24565244 -1.7532411813735962;
0.3834578 9.664773 48.301437 2.914779 -6.0434723 0.27017212 -0.49747077 0.0 0.0 -284.10184 -0.19621396 -12.99547290802002;
0.41574842 13.30315 36.415237 2.7532043 -5.003764 0.25344086 -0.51814634 0.0 0.0 -216.40701 -0.1615746 -22.253015518188477;
0.44710907 16.063843 32.061066 2.613373 -4.4588146 0.23582458 -0.5617318 0.0 0.0 -195.58395 -0.1398313 -30.26475715637207;
0.47793347 18.254942 28.46349 2.4871016 -4.096479 0.21677399 -0.6180364 0.0 0.0 -178.075 -0.12627149 -37.49958038330078;
0.50875556 15.985994 21.142237 2.3792393 -3.4995108 0.19748688 -0.6257561 0.0 0.0 -133.6342 -0.107862234 -43.67963409423828;
0.53961056 21.386011 22.641218 2.277261 -3.3050833 0.17593384 -0.6985269 0.0 0.0 -151.44456 -0.1019783 -49.522560119628906;
0.57076377 20.45033 18.823616 2.1841223 -2.9896986 0.15249634 -0.7523303 0.0 0.0 -133.31311 -0.093138695 -54.859012603759766;
0.60176367 20.495935 16.066818 2.0993948 -2.7331572 0.12677765 -0.82963854 0.0 0.0 -121.18643 -0.084727526 -59.713539123535156;
0.6331544 18.512707 13.1207 2.0229714 -2.4345858 0.098228455 -0.9094787 0.0 0.0 -103.97283 -0.07642341 -64.09227752685547;
0.66502035 17.40901 10.998549 1.9530814 -2.1932516 0.064826965 -1.0481879 0.0 0.0 -90.99827 -0.06989002 -68.09668731689453;
0.6972604 15.003559 8.712973 1.8931284 -1.8595818 0.02571106 -1.2132714 0.0 0.0 -73.72047 -0.059952974 -71.53173828125;
0.7298563 12.613597 6.926633 1.8446598 -1.4869533 -0.022727966 -1.4860463 0.0 0.0 -58.389217 -0.04846859 -74.30877685546875;
0.76298094 9.35002 5.1521063 1.810426 -1.0334859 -0.090919495 -2.058637 0.0 0.0 -41.13091 -0.03423381 -76.27023315429688;
0.79657656 3.9139035 2.0162237 1.7953172 -0.44972628 -0.26256943 -5.109298 0.0 0.0 -11.031628 -0.015108824 -77.13591003417969;
0.8303696 -2.2271347 2.1979868 1.8122945 0.50239074 -0.32452393 -1.8333509 0.0 0.0 13.128873 0.01697731 -76.16317749023438;
0.8646997 -14.11546 -2.7306874 1.8866842 2.166892 -0.33194733 -0.21623571 0.0 0.0 70.18434 0.074389696 -71.90096282958984;
0.8992454 -35.590866 -19.680563 2.068004 5.2486997 -0.32938766 0.07409506 0.0 0.0 209.26022 0.18131971 -61.512107849121094;
0.9329858 -67.56356 -73.32639 2.3864434 9.437932 -0.32187653 0.22261567 0.0 0.0 549.9167 0.31843948 -43.266868591308594;
0.96048766 -51.82141 -112.67228 2.6959214 11.252987 -0.3119545 0.3607766 0.0 0.0 731.9894 0.30947804 -25.535085678100586;
0.98633105 -22.794628 -89.97539 2.919212 8.640142 -0.30191422 0.38850465 0.0 0.0 550.2397 0.22329068 -12.741471290588379;
1.0185701 -2.8727038 -31.739016 3.097501 5.530231 -0.2914734 0.32385734 -1.7540665 -28.525778 179.93031 0.17828894 -2.526268243789673;
1.0511996 6.04503 -47.01041 3.2878797 5.8345537 -0.27729416 0.43455225 -2.2016268 -71.6086 264.30093 0.19037867 8.381625175476074;
1.08294 12.838197 -42.53115 3.4589708 5.3903217 -0.26122665 0.5062159 -2.2240407 -108.506424 250.99983 0.17109108 18.18442153930664;
